                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.63749,                0.75745,                 1.1513,                0.73244,                0.75933,                0.77183,                0.60284,                 1.0011,                 1.0422,                  1.618,             0.00012907,             0.00012907,             0.00012907
                     71,                0.63453,                0.73462,                 1.1641,                0.68935,                0.78332,                0.77236,                0.59892,                 1.0069,                 1.0596,                  1.613,             0.00012664,             0.00012664,             0.00012664
                     72,                  0.662,                0.76363,                 1.1795,                0.73644,                0.74743,                0.78355,                0.61132,                 1.0014,                 1.0374,                 1.5818,             0.00012422,             0.00012422,             0.00012422
                     73,                0.64064,                0.75479,                 1.1619,                0.71121,                 0.7806,                 0.7793,                0.61142,                 1.0043,                 1.0667,                 1.5863,             0.00012179,             0.00012179,             0.00012179
                     74,                0.63629,                0.72375,                 1.1629,                 0.7136,                0.77069,                0.76817,                0.59692,                 1.0122,                 1.0353,                 1.6087,             0.00011936,             0.00011936,             0.00011936
                     75,                0.63502,                0.73853,                 1.1624,                0.71669,                0.77171,                  0.786,                 0.6115,                 1.0014,                 1.0349,                 1.6123,             0.00011694,             0.00011694,             0.00011694
                     76,                0.63589,                0.73773,                 1.1585,                0.72238,                0.76466,                0.78378,                0.60498,                 1.0018,                 1.0518,                 1.5787,             0.00011451,             0.00011451,             0.00011451
                     77,                0.62009,                0.71293,                 1.1411,                0.69276,                 0.8278,                0.79041,                0.61769,                0.99285,                 1.0121,                 1.5963,             0.00011209,             0.00011209,             0.00011209
                     78,                0.64329,                0.72009,                 1.1521,                0.77975,                0.72381,                0.78608,                0.61125,                 0.9983,                 1.0355,                 1.6068,             0.00010966,             0.00010966,             0.00010966
                     79,                0.62696,                0.72747,                 1.1508,                0.72649,                0.77315,                0.78006,                0.60534,                0.97199,                 1.0182,                 1.5878,             0.00010724,             0.00010724,             0.00010724
                     80,                0.62431,                  0.718,                 1.1496,                0.70179,                0.78067,                0.78604,                0.61145,                 1.0047,                 1.0507,                 1.6112,             0.00010481,             0.00010481,             0.00010481
                     81,                0.62764,                 0.7208,                 1.1514,                0.72659,                0.79206,                0.79743,                0.61641,                0.99386,                  1.003,                 1.5995,             0.00010239,             0.00010239,             0.00010239
                     82,                0.61057,                0.69097,                 1.1402,                0.77992,                0.75253,                0.79158,                0.61593,                0.99511,                 1.0024,                 1.6009,              9.996e-05,              9.996e-05,              9.996e-05
                     83,                0.63335,                0.72287,                 1.1483,                0.79629,                0.72591,                0.78705,                0.60234,                0.99835,                 1.0367,                 1.6043,             9.7534e-05,             9.7534e-05,             9.7534e-05
                     84,                0.62028,                0.69351,                 1.1464,                0.74829,                0.78267,                0.80231,                0.61851,                0.98159,                 1.0086,                 1.5802,             9.5109e-05,             9.5109e-05,             9.5109e-05
                     85,                0.60508,                0.67795,                 1.1317,                0.79064,                0.72392,                0.78915,                0.62033,                0.96311,                 1.0138,                 1.5713,             9.2684e-05,             9.2684e-05,             9.2684e-05
                     86,                0.61013,                0.67507,                 1.1327,                0.73057,                0.77046,                0.78195,                0.61188,                0.96959,                 1.0288,                 1.5719,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     87,                0.61266,                0.67251,                 1.1423,                0.76114,                 0.7669,                0.81091,                0.62739,                0.98374,                0.97335,                 1.5906,             8.7832e-05,             8.7832e-05,             8.7832e-05
                     88,                0.59803,                0.68854,                 1.1377,                0.81378,                0.70997,                0.79555,                0.62138,                0.97831,                0.99272,                 1.5856,             8.5407e-05,             8.5407e-05,             8.5407e-05
                     89,                0.59255,                0.68878,                 1.1303,                0.75531,                0.79158,                0.79466,                0.61999,                0.98617,                0.97144,                  1.599,             8.2981e-05,             8.2981e-05,             8.2981e-05
                     90,                0.60038,                0.66572,                 1.1313,                0.76279,                 0.7562,                0.80078,                0.62093,                0.98947,                 1.0088,                 1.6059,             8.0556e-05,             8.0556e-05,             8.0556e-05
                     91,                0.58656,                0.66847,                 1.1245,                0.72041,                0.77316,                0.80183,                 0.6241,                0.98163,                 1.0014,                 1.5873,              7.813e-05,              7.813e-05,              7.813e-05
                     92,                0.58307,                0.64159,                 1.1145,                0.78065,                0.73316,                0.79515,                0.61647,                0.99573,                 1.0357,                 1.6013,             7.5705e-05,             7.5705e-05,             7.5705e-05
                     93,                0.59319,                0.67376,                 1.1284,                0.76074,                0.77172,                0.80309,                0.62172,                 0.9868,                 0.9977,                 1.5913,              7.328e-05,              7.328e-05,              7.328e-05
                     94,                0.59871,                0.66935,                 1.1317,                0.77526,                0.75597,                0.80504,                0.62015,                0.99601,                 1.0039,                  1.615,             7.0854e-05,             7.0854e-05,             7.0854e-05
                     95,                0.60468,                0.65757,                 1.1332,                 0.7593,                0.76889,                  0.797,                 0.6133,                 0.9957,                 1.0229,                 1.6116,             6.8428e-05,             6.8428e-05,             6.8428e-05
                     96,                0.58811,                0.64908,                 1.1272,                0.69274,                0.81927,                0.80243,                0.62475,                0.98909,                 1.0056,                  1.586,             6.6003e-05,             6.6003e-05,             6.6003e-05
